Date and Time:                Mon Mar 24 12:59:07.152 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
930,71466	103
931,24872	86
931,78271	51
932,31683	-3
932,85089	4
933,38501	36
933,91913	-109
934,45331	-109
934,98749	55
935,52167	-82
936,05591	30
936,59021	-29
937,12445	-56
937,65875	-2
938,19312	51
938,72748	-79
939,26184	26
939,79626	147
940,33069	-66
940,86511	-113
941,3996	167
941,93408	-120
942,46863	-8
943,00317	-35
943,53778	-33
944,07239	-44
944,60699	102
945,1416	-15
945,67633	-35
946,211	124
946,74573	-193
947,28046	78
947,81525	27
948,35004	162
948,88483	-89
949,41968	117
949,95453	12
950,48944	-29
951,02435	6
951,55933	23
952,09424	49
952,62927	-86
953,16425	67
953,69928	42
954,23438	111
954,76947	26
955,30457	-69
955,83972	-36
956,37488	51
956,91003	76
957,44525	26
957,98047	167
958,51575	-84
959,05103	2
959,5863	72
960,12164	-45
960,65698	30
961,19238	-66
961,72778	-80
962,26324	-101
962,79865	-4
963,33417	-118
963,86963	196
964,40515	-68
964,94073	30
965,47632	96
966,0119	-26
966,54749	92
967,08313	30
967,61884	124
968,15454	126
968,69025	60
969,22601	-4
969,76178	104
970,29755	24
970,83337	-54
971,3692	21
971,90509	75
972,44098	139
972,97687	-14
973,51282	161
974,04877	-56
974,58478	113
975,12079	69
975,6568	-109
976,19287	43
976,72894	-136
977,26508	39
977,80121	-35
978,33734	-4
978,87354	48
979,40973	-84
979,94598	0
980,48224	120
981,01849	13
981,55481	-34
982,09113	93
982,6275	-72
983,16388	-50
983,70026	98
984,23669	52
984,77313	-50
985,30963	-104
985,84613	135
986,38263	-105
986,91919	39
987,45575	-13
987,99237	64
988,52899	0
989,06561	-19
989,60229	95
990,13898	-17
990,67572	-10
991,21246	-54
991,74921	36
992,28601	-82
992,82281	-5
993,35968	27
993,89655	-74
994,43341	77
994,97034	-130
995,50726	87
996,04419	-47
996,58118	5
997,11823	-104
997,65527	-54
998,19232	105
998,72937	35
999,26648	68
999,80365	-44
1000,3408	-6
1000,878	182
1001,4152	-104
1001,9524	51
1002,4896	88
1003,0269	-28
1003,5642	-90
1004,1016	63
1004,6389	24
1005,1763	27
1005,7137	-42
1006,2511	19
1006,7886	50
1007,326	-48
1007,8635	95
1008,4011	-24
1008,9386	-176
1009,4761	72
1010,0137	-42
1010,5514	22
1011,0891	19
1011,6267	-9
1012,1644	-11
1012,7021	28
1013,2399	78
1013,7776	50
1014,3154	-153
1014,8532	-27
1015,3911	-119
1015,9289	14
1016,4668	-53
1017,0047	-39
1017,5427	-49
1018,0806	-7
1018,6186	146
1019,1566	120
1019,6946	-81
1020,2327	-69
1020,7708	32
1021,3089	85
1021,847	-44
1022,3851	124
1022,9233	8
1023,4615	-42
1023,9998	-9
1024,538	-72
1025,0763	16
1025,6146	-75
1026,153	46
1026,6913	-68
1027,2296	-94
1027,7681	62
1028,3065	-24
1028,8448	27
1029,3834	-81
1029,9219	113
1030,4604	-4
1030,9989	-28
1031,5375	-22
1032,076	-36
1032,6147	-62
1033,1533	132
1033,692	26
1034,2307	104
1034,7694	-49
1035,3082	131
1035,8469	-58
1036,3857	15
1036,9246	-126
1037,4634	24
1038,0022	10
1038,5411	-61
1039,0801	168
1039,6189	-12
1040,158	29
1040,6969	-77
1041,236	135
1041,7749	16
1042,314	-54
1042,853	-98
1043,3922	-96
1043,9313	-106
1044,4705	14
1045,0096	73
1045,5488	41
1046,088	-19
1046,6273	94
1047,1666	-32
1047,7059	-27
1048,2452	105
1048,7845	47
1049,324	69
1049,8633	129
1050,4027	-72
1050,9421	68
1051,4817	94
1052,0211	-40
