Date and Time:                Fri Mar 21 14:11:33.414 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
625,08936	166
625,60925	2
626,12915	8
626,64911	20
627,16907	37
627,68903	-104
628,20905	-70
628,72906	19
629,24915	50
629,76923	-91
630,28937	53
630,80945	-26
631,32965	-97
631,84979	-68
632,37	119
632,89026	13
633,41052	70
633,93079	0
634,45111	-22
634,97144	-20
635,49176	69
636,01215	156
636,53253	-100
637,05298	-1
637,57343	-222
638,09387	-20
638,61438	97
639,13495	84
639,65546	60
640,17603	53
640,69666	112
641,21729	76
641,73792	47
642,25861	63
642,7793	-20
643,29999	-6
643,82074	144
644,34149	-21
644,8623	161
645,38312	47
645,90393	138
646,4248	73
646,94568	114
647,46661	-6
647,98755	152
648,50848	88
649,02948	34
649,55048	135
650,07153	44
650,59259	192
651,11371	106
651,63477	12
652,15594	154
652,67706	5
653,19824	70
653,71948	34
654,24072	7
654,76196	136
655,2832	-65
655,8045	183
656,32587	116
656,84723	147
657,36859	20
657,89001	119
658,41144	142
658,93286	98
659,45435	331
659,97583	190
660,49738	173
661,01892	117
661,54047	142
662,06207	59
662,58368	131
663,10535	212
663,62701	111
664,14868	-46
664,67041	226
665,19214	232
665,71393	342
666,23572	97
666,75751	113
667,27936	208
667,80121	151
668,32312	-39
668,84503	284
669,36694	312
669,88892	300
670,41089	304
670,93292	164
671,45496	112
671,97699	206
672,49908	272
673,02118	205
673,54333	315
674,06549	197
674,58765	364
675,10986	406
675,63208	274
676,15436	357
676,67664	338
677,19891	426
677,72125	319
678,24359	359
678,76593	440
679,28833	437
679,81079	372
680,33325	494
680,85571	540
681,37817	444
681,9007	631
682,42328	513
682,9458	485
683,46844	561
683,99103	508
684,51367	516
685,03632	631
685,55902	665
686,08173	720
686,60449	716
687,12726	1010
687,65002	710
688,17285	887
688,69568	928
689,21857	1121
689,74146	893
690,26434	1084
690,78729	1071
691,31024	1145
691,83325	1238
692,35626	1206
692,87927	1332
693,40234	1378
693,92542	1657
694,44849	1676
694,97162	1811
695,49481	2014
696,01794	2192
696,54114	2168
697,06439	2313
697,58765	2485
698,1109	2789
698,63422	3167
699,15753	3964
699,68091	6065
700,20428	9979
700,72766	14307
701,2511	18897
701,77454	23083
702,29797	26499
702,82147	28962
703,34503	32562
703,86853	35575
704,39215	37663
704,91571	41160
705,43933	43164
705,96295	43586
706,48663	42459
707,01031	42491
707,53406	42974
708,0578	43263
708,58154	43663
709,10535	42601
709,62915	40581
710,15295	35834
710,67682	29265
711,20074	22114
711,72461	16778
712,24854	13335
712,77252	10416
713,29651	7794
713,8205	6117
714,34454	4931
714,86859	4070
715,39264	3477
715,91675	3011
716,44092	2838
716,96503	2588
717,4892	2358
718,01343	2185
718,53766	2008
719,06189	2070
719,58618	1859
720,11047	1814
720,63477	1623
721,15912	1524
721,68353	1668
722,20789	1549
722,7323	1537
723,25677	1294
723,78125	1235
724,30573	1123
724,83026	1083
725,3548	1162
725,87933	1078
726,40393	1131
726,92859	964
727,45319	814
727,97784	825
728,50256	727
729,02728	869
729,552	805
730,07678	667
730,60156	759
731,12634	745
731,65118	664
732,17603	608
732,70093	626
733,22583	698
733,75079	573
734,2757	522
734,80072	523
735,32568	466
735,85071	417
736,37579	468
736,90088	449
737,42596	357
737,95111	346
738,47626	392
739,0014	459
739,52661	294
740,05182	377
740,57709	398
741,10236	302
741,62769	238
742,15295	406
742,67834	492
743,20367	289
743,72906	267
744,25452	306
744,77997	445
745,30542	149
745,83093	190
746,35645	294
746,88196	157
747,40753	280
747,93311	263
748,45874	267
748,98438	207
749,51001	265
750,03571	334
750,5614	295
751,08716	253
751,61292	233
752,13867	254
752,66449	153
753,19037	242
753,71619	127
754,24207	103
754,76801	95
755,29388	130
755,81989	163
756,34583	-46
756,87183	298
757,39789	148
757,92395	62
758,45001	146
758,97607	155
759,5022	264
760,02838	124
760,55457	82
761,08075	95
761,60699	86
762,13324	118
762,65948	215
763,18579	87
763,7121	35
764,23846	107
764,76483	143
765,2912	57
765,81763	184
766,34406	197
766,87054	199
767,39703	-10
767,92352	14
768,45007	134
768,97662	268
769,50323	158
770,02985	238
770,55646	41
771,08313	10
771,6098	125
772,13654	41
772,66327	77
