Date and Time:                Fri Mar 21 10:34:36.524 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 22,646
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
716,44092	1006
716,96503	974
717,4892	868
718,01343	730
718,53766	861
719,06189	851
719,58618	650
720,11047	735
720,63477	720
721,15912	617
721,68353	582
722,20789	574
722,7323	606
723,25677	583
723,78125	537
724,30573	249
724,83026	212
725,3548	419
725,87933	349
726,40393	473
726,92859	280
727,45319	490
727,97784	396
728,50256	393
729,02728	285
729,552	407
730,07678	223
730,60156	263
731,12634	301
731,65118	251
732,17603	368
732,70093	262
733,22583	236
733,75079	252
734,2757	204
734,80072	210
735,32568	223
735,85071	128
736,37579	204
736,90088	205
737,42596	161
737,95111	179
738,47626	103
739,0014	103
739,52661	128
740,05182	160
740,57709	101
741,10236	296
741,62769	178
742,15295	221
742,67834	22
743,20367	81
743,72906	166
744,25452	-44
744,77997	169
745,30542	89
745,83093	13
746,35645	101
746,88196	158
747,40753	249
747,93311	214
748,45874	158
748,98438	233
749,51001	87
750,03571	114
750,5614	147
751,08716	81
751,61292	66
752,13867	65
752,66449	6
753,19037	156
753,71619	117
754,24207	76
754,76801	112
755,29388	189
755,81989	126
756,34583	172
756,87183	-33
757,39789	64
757,92395	1
758,45001	86
758,97607	63
759,5022	-15
760,02838	172
760,55457	160
761,08075	29
761,60699	190
762,13324	32
762,65948	-36
763,18579	86
763,7121	-98
764,23846	150
764,76483	76
765,2912	237
765,81763	200
766,34406	65
766,87054	-115
767,39703	41
767,92352	65
768,45007	34
768,97662	73
769,50323	17
770,02985	-87
770,55646	21
771,08313	1
771,6098	32
772,13654	-61
772,66327	10
773,19	79
773,7168	-29
774,24359	65
774,77045	23
775,2973	54
775,82416	-29
776,35107	-33
776,87799	-46
777,40497	121
777,93195	-84
778,45892	29
778,98596	5
779,513	-40
780,0401	-42
780,5672	24
781,0943	51
781,62146	108
782,14862	-118
782,67578	99
783,203	-26
783,73029	2
784,25757	-54
784,78485	49
785,31213	9
785,83948	-7
786,36688	0
786,89423	0
787,42169	37
787,9491	74
788,47656	-11
789,00409	69
789,53156	-1
790,05908	-26
790,58667	-71
791,11426	114
791,64185	-32
792,16949	42
792,69714	-61
793,22485	0
793,75256	-55
794,28027	145
794,80804	-87
795,33582	28
795,86365	-75
796,39148	84
796,91931	-10
797,4472	27
797,9751	-53
798,50299	86
799,03094	78
799,55896	-71
800,08691	91
800,61499	22
801,14301	-67
801,67108	10
802,19916	15
802,72729	-46
803,25543	15
803,78363	-12
804,31183	21
804,84003	4
805,36829	23
805,89655	-1
806,4248	-106
806,95313	-85
807,48151	68
808,00983	-88
808,53827	16
809,06665	60
809,59509	-35
810,12354	-63
810,65204	49
811,18054	16
811,70911	124
812,23767	8
812,76624	-19
813,29486	65
813,82349	97
814,35211	-124
814,8808	-89
815,40955	34
815,93823	56
816,46698	61
816,99579	10
817,5246	23
818,05341	-35
818,58228	-67
819,11115	41
819,64001	-46
820,16895	-12
820,69794	59
821,22687	-20
821,75586	-160
