Date and Time:                Mon Mar 17 14:59:39.813 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
753,19031	188
753,71619	246
754,24207	155
754,76794	243
755,29388	66
755,81982	140
756,34583	79
756,87183	88
757,39789	66
757,92389	315
758,45001	77
758,97607	339
759,5022	161
760,02838	38
760,5545	213
761,08075	84
761,60693	85
762,13318	220
762,65948	338
763,18579	168
763,7121	225
764,2384	216
764,76477	215
765,2912	114
765,81763	158
766,34406	208
766,87048	-46
767,39697	169
767,92352	156
768,45007	189
768,97662	223
769,50317	154
770,02979	102
770,55646	205
771,08313	64
771,6098	144
772,13647	82
772,66321	293
773,19	136
773,7168	166
774,24359	221
774,77039	131
775,29724	114
775,82416	32
776,35107	265
776,87799	43
777,40491	151
777,93188	221
778,45892	226
778,98596	256
779,513	230
780,04004	156
780,56714	231
781,0943	207
781,6214	162
782,14862	51
782,67578	230
783,203	214
783,73029	76
784,25751	98
784,78485	36
785,31213	117
785,83948	139
786,36682	201
786,89423	272
787,42163	226
787,9491	57
788,47656	186
789,00403	138
789,53156	179
790,05908	139
790,58667	220
791,11426	128
791,64185	175
792,16949	100
792,69714	206
793,22485	255
793,75256	281
794,28027	122
794,80804	99
795,33582	86
795,86359	276
796,39142	177
796,91931	207
797,44714	254
797,9751	238
798,50299	197
799,03094	379
799,5589	276
800,08691	156
800,61493	199
801,14301	178
801,67108	215
802,19916	144
802,72729	237
803,25543	44
803,78363	204
804,31177	153
804,84003	201
805,36829	67
805,89655	61
806,4248	207
806,95313	265
807,48145	93
808,00983	162
808,53821	318
809,06665	221
809,59509	148
810,12354	141
810,65204	210
811,18054	197
811,70905	152
812,23761	138
812,76624	180
813,2948	241
813,82349	137
814,35211	10
814,8808	193
815,40948	70
815,93823	231
816,46698	121
816,99579	148
817,5246	125
818,05341	27
818,58228	88
819,11115	90
819,64001	141
820,16895	115
820,69788	129
821,22687	88
821,75586	94
822,28491	245
822,81396	127
823,34302	125
823,87213	113
824,40125	50
824,93036	182
825,45953	154
825,98871	92
826,51794	137
827,04718	174
827,57648	91
828,10577	179
828,63507	118
829,16443	88
829,69379	137
830,22314	83
830,75256	150
831,28198	228
831,81146	-26
832,34094	87
832,87048	77
833,39996	74
833,92957	187
