Date and Time:                Thu Mar 13 15:15:21.841 2025
Software Version:             4.32.30137.0
Unstabilized Temperature (C): 21,997
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
614,69666	-48
615,21606	-136
615,73547	-98
616,25494	-206
616,77441	-126
617,29388	-63
617,81342	-20
618,33295	-68
618,85254	-166
619,37213	-109
619,89178	-82
620,41144	-69
620,93109	-97
621,45081	-41
621,97052	-82
622,49023	-9
623,01001	-85
623,52979	-115
624,04962	-26
624,56946	-172
625,08936	161
625,60925	-33
626,12915	-56
626,64905	68
627,16907	-22
627,68903	-83
628,20905	-83
628,72906	-262
629,24915	27
629,76923	14
630,28931	-34
630,80945	-66
631,32965	-158
631,84979	-99
632,37	-92
632,89026	-7
633,41052	-3
633,93079	-4
634,45111	6
634,97144	-74
635,49176	19
636,01215	26
636,53253	-93
637,05298	44
637,57343	-74
638,09387	-38
638,61438	43
639,13489	-55
639,65546	63
640,17603	-36
640,69666	-3
641,21722	9
641,73792	-124
642,25854	-79
642,77924	-9
643,29999	21
643,82074	54
644,34149	-53
644,8623	57
645,38312	-10
645,90393	-33
646,4248	78
646,94568	241
647,46661	95
647,98755	100
648,50848	82
649,02948	36
649,55048	114
650,07153	227
650,59259	66
651,11365	360
651,63477	272
652,15594	190
652,67706	174
653,19824	147
653,71948	249
654,24066	396
654,76196	323
655,2832	443
655,8045	518
656,32587	513
656,84723	515
657,36859	561
657,88995	593
658,41138	771
658,93286	886
659,45435	849
659,97583	929
660,49731	1021
661,01886	1054
661,54047	1154
662,06207	1244
662,58368	1245
663,10529	1380
663,62695	1609
664,14868	1740
664,67041	1863
665,19214	2030
665,71393	2019
666,23572	2326
666,75751	2483
667,27936	2776
667,80121	2906
668,32312	3163
668,84503	3122
669,36694	3574
669,88892	3961
670,41089	4101
670,93286	4466
671,4549	4893
671,97699	5034
672,49908	5432
673,02118	5943
673,54327	6338
674,06543	6917
674,58765	7328
675,10986	7968
675,63208	8557
676,1543	8933
676,67657	9808
677,19891	10357
677,72125	11075
678,24359	11572
678,76593	11932
679,28833	12318
679,81079	12932
680,33319	13289
680,85571	13616
681,37817	13859
681,9007	14343
682,42322	14818
682,9458	15036
683,46838	15644
683,99103	16275
684,51367	16632
685,03632	17368
685,55902	17892
686,08173	18779
686,60449	19755
687,12726	22218
687,65002	22271
688,17285	23709
688,69568	25081
689,21857	26348
689,74146	27977
690,26434	29620
690,78729	30826
691,31024	31838
691,83319	33327
692,3562	34251
692,87927	35084
693,40228	35937
693,92542	36594
694,44849	37211
694,97162	38202
695,49475	39176
696,01794	40240
696,54114	42097
697,06439	43554
697,58765	45390
698,1109	47365
698,63422	48946
699,15753	50665
699,68091	52396
700,20428	54188
700,72766	55795
701,2511	57849
701,77454	59921
702,29797	62360
702,82147	65012
703,34497	67799
703,86853	70325
704,39209	72305
704,91571	73641
705,43933	74518
705,96295	74927
706,48663	75217
707,01031	75406
707,53406	75158
708,05774	75473
708,58154	75717
709,10529	76315
709,62915	76344
710,15295	75344
710,67682	74042
711,20068	71744
711,72461	69739
712,24854	67157
712,77252	64656
713,29651	62093
713,8205	59544
714,34454	57355
714,86859	54980
715,39264	52322
715,91675	49712
716,44086	46796
716,96503	43943
717,4892	41024
718,01343	38491
718,53766	35954
719,06189	33456
719,58618	31187
720,11047	28874
720,63477	26942
721,15912	24790
721,68347	22990
722,20789	21030
722,7323	19218
723,25677	17698
723,78125	16198
724,30573	14802
724,83026	13301
725,3548	12026
725,87933	10806
726,40393	9728
726,92853	8875
727,45319	8139
727,97784	7207
728,50256	6588
729,02722	6032
729,552	5219
730,07672	4745
730,6015	4339
731,12634	3779
731,65118	3214
732,17603	2724
732,70093	2453
733,22583	2177
733,75073	1811
734,2757	1772
734,80066	1481
735,32568	1442
735,85071	1169
736,37579	1153
736,90088	1101
737,42596	1130
737,95105	1137
738,47626	933
739,0014	836
739,52661	987
740,05182	952
740,57709	860
741,10236	776
741,62762	766
742,15295	803
742,67828	732
743,20367	613
743,72906	661
744,25452	779
744,77991	636
745,30542	676
745,83087	495
746,35638	715
746,88196	477
747,40753	554
747,93311	522
748,45874	668
748,98438	423
749,51001	520
750,03571	356
750,5614	367
751,08716	321
751,61292	326
752,13867	367
752,66449	155
753,19031	187
753,71619	102
754,24207	339
754,76794	232
755,29388	262
755,81982	410
756,34583	301
756,87183	180
757,39789	99
757,92389	245
758,45001	116
758,97607	135
759,5022	139
760,02838	156
760,5545	67
761,08075	161
761,60693	96
762,13318	94
762,65948	168
763,18579	32
763,7121	3
764,2384	120
764,76477	229
765,2912	103
765,81763	133
766,34406	54
766,87048	112
767,39697	50
767,92352	37
768,45007	-12
768,97662	50
769,50317	180
770,02979	170
770,55646	110
771,08313	21
771,6098	51
772,13647	47
772,66321	-20
773,19	173
773,7168	-4
774,24359	206
774,77039	108
775,29724	121
775,82416	-19
776,35107	92
776,87799	108
777,40491	65
777,93188	-31
778,45892	241
778,98596	56
779,513	-1
780,04004	55
780,56714	138
781,0943	110
781,6214	112
782,14862	157
782,67578	192
783,203	-6
783,73029	196
784,25751	86
784,78485	109
785,31213	129
785,83948	98
786,36682	17
786,89423	25
787,42163	32
787,9491	35
788,47656	27
789,00403	96
789,53156	196
790,05908	112
790,58667	74
791,11426	81
791,64185	77
792,16949	190
792,69714	329
793,22485	63
793,75256	77
794,28027	110
794,80804	172
795,33582	97
795,86359	171
796,39142	147
796,91931	210
797,44714	230
797,9751	84
798,50299	155
799,03094	69
799,5589	177
